nom;CaO;Fe2O3;TiO2;K2O;SiO2;Al2O3;MgO;MnO;Na2O;P2O5;Zr;Sr;Rb;Zn;Cr;Ni;La;Ba;V;Ce;Y;Th;Pb;Cu
ATM297;08.88;07.61;0.820;02.33;59.42;16.45;02.90;0.2400;01.25;00.16;.0144;.0284;.0103;.0109;.0212;.0076;.0000;.0470;.0132;.0000;;;;
ATM298;05.65;07.96;0.880;02.56;59.63;18.57;03.16;0.2900;01.20;00.19;.0142;.0296;.0118;.0122;.0173;.0084;.0000;.0546;.0145;.0000;;;;
ATM299;07.74;07.71;0.850;02.94;57.77;18.44;02.67;0.2400;01.45;00.21;.0143;.0342;.0143;.0117;.0149;.0080;.0000;.0681;.0160;.0000;;;;
ATM300;08.92;07.54;0.820;02.69;58.08;17.49;02.69;0.2400;01.39;00.19;.0135;.0260;.0142;.0119;.0148;.0076;.0000;.0338;.0161;.0000;;;;
ATM301;09.66;07.54;0.820;02.79;57.24;17.57;02.75;0.2300;01.39;00.18;.0129;.0269;.0144;.0120;.0132;.0078;.0000;.0366;.0135;.0000;;;;
ATM302;06.84;06.61;0.770;02.55;63.52;16.23;02.43;0.1500;01.43;00.15;.0130;.0243;.0124;.0098;.0071;.0072;.0000;.0332;.0146;.0000;;;;
ATM303;10.17;07.20;0.790;02.47;58.28;16.60;02.88;0.1800;01.60;00.16;.0136;.0290;.0125;.0105;.0058;.0068;.0000;.0287;.0139;.0000;;;;
ATM304;06.33;06.27;0.720;02.46;64.28;15.62;02.32;0.1500;01.56;00.14;.0128;.0226;.0112;.0093;.0053;.0068;.0000;.0316;.0112;.0000;;;;
ATM305;07.24;06.88;0.800;02.64;61.27;16.88;02.55;0.1700;01.59;00.16;.0136;.0244;.0139;.0106;.0049;.0073;.0000;.0306;.0146;.0000;;;;
ATM306;08.45;07.77;0.860;02.79;56.90;18.31;02.98;0.2200;01.31;00.19;.0138;.0258;.0140;.0125;.0163;.0080;.0000;.0376;.0149;.0000;;;;
ATM307;06.21;07.37;0.840;02.68;60.36;18.03;02.68;0.1900;01.37;00.17;.0141;.0236;.0143;.0127;.0152;.0082;.0000;.0376;.0148;.0000;;;;
ATM308;07.59;07.65;0.870;02.74;58.91;17.93;02.83;0.2200;01.40;00.25;.0144;.0251;.0138;.0122;.0141;.0081;.0000;.0342;.0156;.0000;;;;
ATM309;08.41;07.82;0.870;02.50;57.50;18.02;03.48;0.1900;01.08;00.17;.0144;.0250;.0119;.0124;.0172;.0083;.0000;.0369;.0165;.0000;;;;
ATM310;08.94;07.52;0.830;02.86;57.38;17.60;02.64;0.2000;01.33;00.25;.0137;.0271;.0146;.0118;.0148;.0078;.0000;.0355;.0157;.0000;;;;
ATM397;07.29;07.57;0.880;03.03;58.45;18.10;02.82;0.1700;01.58;00.23;.0154;.0281;.0156;.0128;.0158;.0090;.0000;.0411;.0146;.0000;;;;
ATM398;06.96;07.31;0.820;02.87;59.91;17.82;02.59;0.1900;01.30;00.17;.0134;.0255;.0144;.0124;.0150;.0083;.0000;.0567;.0153;.0000;;;;
ATM399;07.47;07.64;0.890;02.50;58.91;18.02;02.82;0.2100;01.59;00.17;.0148;.0252;.0122;.0125;.0156;.0086;.0000;.0336;.0133;.0000;;;;
ATM400;06.39;07.80;0.890;02.97;58.35;19.44;02.99;0.2100;01.18;00.18;.0142;.0225;.0151;.0132;.0164;.0090;.0000;.0378;.0161;.0000;;;;
ATM401;07.41;07.47;0.870;02.54;59.23;17.60;02.74;0.2000;01.61;00.18;.0149;.0240;.0130;.0124;.0147;.0082;.0000;.0316;.0155;.0000;;;;
REF 19; 6.35; 7.15; 0.81; 2.84;61.77;17.24; 2.34;0.1751; 0.95; 0.18;.0141;.0242;.0129;.0129;.0135;.0083;.0044;.0380;.0137;.0082;;;;
REF 20; 6.03; 6.66; 0.76; 2.60;64.35;16.25; 2.23;0.1438; 0.64; 0.14;.0129;.0242;.0115;.0125;.0125;.0085;.0062;.0361;.0111;.0077;;;;
REF 21; 8.44; 6.64; 0.78; 2.76;60.79;16.80; 2.63;0.1302; 0.64; 0.19;.0127;.0339;.0126;.0133;.0113;.0088;.0046;.0450;.0128;.0075;;;;
REF 22; 7.01; 7.79; 0.89; 2.52;60.11;17.74; 2.55;0.1854; 0.76; 0.23;.0164;.0265;.0110;.0136;.0134;.0094;.0051;.0360;.0122;.0083;;;;
REF201; 6.84; 7.74; 0.85; 2.36;58.77;18.66; 2.76;0.2280; 1.42; 0.16;.0151;.0290;.0096;.0133;.0160;.0097;.0051;.0454;.0113;.0090;;;;
REF202; 9.47; 7.27; 0.79; 2.09;57.79;17.02; 3.71;0.1871; 1.32; 0.16;.0127;.0341;.0105;.0126;.0167;.0104;.0043;.0302;.0128;.0089;;;;
