nom;CaO;Fe2O3;TiO2;K2O;SiO2;Al2O3;MgO;MnO;Na2O;P2O5;Zr;Sr;Rb;Zn;Cr;Ni;La;Ba;V;Ce;Y;Th;Pb;Cu
NMA479; 5.32; 7.89;1.064; 1.97;62.28;19.98; 0.80;0.0362; 0.31; 0.20;.0282;.0095;.0114;.0141;.0084;.0071;.0063;.0329;.0130;.0105;;;;
NMA480; 1.86; 7.97;1.092; 2.01;65.06;20.68; 0.75;0.0330; 0.27; 0.13;.0274;.0091;.0122;.0177;.0094;.0086;.0078;.0370;.0147;.0108;;;;
NMA481; 1.67; 7.85;1.102; 1.90;66.23;20.00; 0.66;0.0299; 0.24; 0.17;.0303;.0078;.0111;.0146;.0086;.0075;.0115;.0337;.0110;.0104;;;;
NMA482; 1.35; 7.65;1.082; 2.02;65.44;20.42; 0.71;0.0303; 1.04; 0.12;.0281;.0068;.0111;.0154;.0089;.0078;.0079;.0333;.0123;.0102;;;;
NMA512; 3.16; 5.57;0.531; 2.06;70.08;16.09; 1.13;0.0527; 1.13; 0.07;.0133;.0103;.0102;.0074;.0072;.0089;.0060;.0347;.0096;.0096;;;;
NMA513; 3.92; 5.73;0.541; 1.65;69.34;16.76; 1.01;0.0209; 0.83; 0.09;.0144;.0099;.0100;.0066;.0082;.0077;.0056;.0262;.0100;.0072;;;;
NMA514; 3.04; 5.07;0.592; 2.01;73.17;14.19; 0.93;0.0313; 0.71; 0.13;.0212;.0086;.0092;.0077;.0069;.0086;.0046;.0299;.0087;.0059;;;;
NMA515; 3.35; 5.29;0.470; 2.17;70.85;15.74; 0.90;0.0204; 1.00; 0.10;.0116;.0091;.0111;.0073;.0071;.0073;.0043;.0298;.0089;.0060;;;;
NMA516; 3.71; 5.81;0.716; 2.02;68.97;16.39; 1.06;0.0237; 1.03; 0.16;.0191;.0094;.0099;.0063;.0093;.0068;.0061;.0235;.0099;.0078;;;;
NMA517; 4.45; 5.30;0.513; 1.99;69.60;15.74; 1.26;0.0247; 0.92; 0.09;.0146;.0101;.0101;.0094;.0074;.0068;.0051;.0300;.0093;.0080;;;;
NMA518; 4.30; 5.28;0.557; 1.73;69.70;15.95; 1.21;0.0222; 1.06; 0.08;.0151;.0102;.0093;.0068;.0077;.0080;.0046;.0299;.0098;.0078;;;;
NMA530; 8.78; 5.44;0.574; 2.42;64.11;15.60; 1.87;0.0650; 0.80; 0.21;.0156;.0153;.0112;.0088;.0086;.0075;.0044;.0404;.0108;.0076;;;;
NMA531;13.23; 5.35;0.564; 2.66;59.79;15.05; 2.14;0.0431; 0.85; 0.21;.0146;.0195;.0118;.0086;.0097;.0063;.0029;.0308;.0103;.0067;;;;
NMA532;11.88; 4.93;0.559; 2.23;63.23;14.21; 1.85;0.0417; 0.80; 0.16;.0183;.0150;.0097;.0069;.0084;.0053;.0028;.0285;.0100;.0059;;;;
NMA533;16.79; 4.98;0.547; 2.82;57.73;13.78; 2.28;0.0562; 0.63; 0.26;.0146;.0212;.0115;.0114;.0090;.0059;.0008;.0331;.0100;.0060;;;;
NMA534;13.34; 5.83;0.610; 3.29;58.67;14.82; 2.47;0.0558; 0.48; 0.30;.0145;.0163;.0132;.0130;.0096;.0074;.0028;.0344;.0105;.0059;;;;
NMA535;10.22; 5.32;0.597; 2.92;62.96;14.47; 2.21;0.0431; 0.86; 0.28;.0174;.0182;.0103;.0072;.0091;.0065;.0025;.0327;.0102;.0054;;;;
NMA536;12.04; 5.29;0.602; 3.16;60.53;14.35; 2.78;0.0501; 0.78; 0.29;.0153;.0179;.0135;.0094;.0101;.0073;.0021;.0349;.0102;.0059;;;;
NMA537;10.45; 5.05;0.563; 2.30;63.62;15.11; 1.64;0.0450; 1.02; 0.09;.0145;.0223;.0113;.0069;.0079;.0072;.0037;.0318;.0087;.0075;;;;
NMA538;13.86; 4.98;0.529; 2.81;59.89;14.53; 2.03;0.0452; 0.96; 0.25;.0129;.0197;.0116;.0094;.0080;.0065;.0015;.0335;.0090;.0055;;;;
NMA539;15.99; 5.44;0.612; 2.79;57.37;14.02; 2.82;0.0722; 0.56; 0.19;.0159;.0253;.0121;.0136;.0097;.0074;.0027;.0277;.0103;.0065;;;;
NMA540;17.79; 5.10;0.551; 3.03;55.91;13.64; 2.80;0.0588; 0.70; 0.28;.0140;.0247;.0130;.0127;.0082;.0063;.0003;.0322;.0097;.0057;;;;
NMA541;14.46; 5.15;0.558; 2.96;58.81;14.42; 2.48;0.0541; 0.75; 0.22;.0137;.0214;.0126;.0117;.0088;.0072;.0033;.0335;.0095;.0061;;;;
NMA613;15.51; 4.92;0.581; 3.01;57.88;14.75; 2.28;0.0547; 0.70; 0.19;.0148;.0289;.0122;.0090;.0081;.0066;.0029;.0309;.0109;.0072;;;;
NMA614;20.26; 5.26;0.587; 3.33;52.56;14.37; 2.36;0.0574; 0.74; 0.34;.0144;.0255;.0152;.0098;.0096;.0066;.0022;.0354;.0102;.0066;;;;
NMA615;18.33; 5.46;0.625; 2.73;54.57;14.96; 2.21;0.0725; 0.66; 0.19;.0171;.0312;.0128;.0087;.0092;.0068;.0022;.0869;.0103;.0074;;;;
NMA616;19.47; 5.23;0.601; 2.75;53.59;15.26; 2.16;0.0696; 0.58; 0.16;.0142;.0306;.0125;.0079;.0091;.0062;.0022;.0265;.0116;.0078;;;;
NMA617;11.53; 6.27;0.747; 3.74;57.00;16.26; 3.14;0.0710; 0.89; 0.19;.0149;.0229;.0161;.0092;.0133;.0116;.0029;.0356;.0139;.0076;;;;
NMA618;19.91; 5.16;0.582; 3.28;53.38;14.07; 2.45;0.0599; 0.75; 0.23;.0152;.0283;.0140;.0100;.0088;.0064;.0011;.0319;.0111;.0062;;;;
NMA619; 8.44; 4.75;0.526; 2.43;66.39;14.77; 1.48;0.0505; 0.94; 0.09;.0144;.0195;.0116;.0073;.0075;.0071;.0037;.0361;.0093;.0076;;;;
NMA620;18.60; 4.96;0.587; 3.01;54.88;14.37; 2.62;0.0744; 0.63; 0.15;.0154;.0304;.0119;.0085;.0088;.0073;.0028;.0307;.0111;.0075;;;;
NMA621;16.21; 5.47;0.694; 2.25;53.53;17.02; 2.80;0.0876; 1.43; 0.35;.0147;.0502;.0151;.0047;.0080;.0086;.0039;.0359;.0132;.0076;;;;
NMA622;11.17; 6.08;0.760; 3.56;58.18;16.20; 2.90;0.0731; 0.74; 0.20;.0169;.0238;.0170;.0081;.0135;.0132;.0041;.0349;.0135;.0073;;;;
NMA623;10.86; 6.20;0.735; 3.62;58.40;16.12; 2.93;0.0780; 0.71; 0.20;.0151;.0221;.0151;.0113;.0129;.0112;.0035;.0332;.0134;.0062;;;;
NMA624;13.58; 6.12;0.733; 3.50;56.18;15.85; 2.87;0.0801; 0.73; 0.20;.0148;.0282;.0166;.0092;.0130;.0112;.0037;.0346;.0119;.0066;;;;
NMA625;13.89; 6.34;0.739; 3.46;55.10;16.44; 2.86;0.0820; 0.74; 0.20;.0152;.0294;.0161;.0096;.0112;.0106;.0032;.0343;.0135;.0063;;;;
NMA626;21.59; 5.18;0.583; 3.30;51.04;14.49; 2.56;0.0650; 0.78; 0.28;.0138;.0264;.0149;.0106;.0072;.0048;.0014;.0330;.0095;.0055;;;;
NMA627;14.72; 6.34;0.730; 3.42;54.83;16.21; 2.80;0.0860; 0.57; 0.15;.0156;.0284;.0155;.0093;.0107;.0112;.0035;.0327;.0122;.0067;;;;
NMA628;15.41; 6.50;0.657; 3.21;54.15;16.30; 2.74;0.0873; 0.57; 0.23;.0150;.0327;.0147;.0076;.0106;.0082;.0031;.0347;.0111;.0063;;;;
NMA629;15.02; 6.72;0.691; 3.18;53.52;16.75; 2.96;0.0875; 0.60; 0.31;.0148;.0392;.0153;.0060;.0106;.0086;.0040;.0376;.0121;.0067;;;;
NMA690;18.27; 4.83;0.643; 2.48;57.45;14.35; 1.11;0.0380; 0.22; 0.45;.0160;.0490;.0108;.0092;.0090;.0036;.0028;.0269;.0134;.0076;.0021;.0017;.0026;.0027
NMA691;15.50; 4.96;0.667; 2.57;58.68;14.43; 2.25;0.0459; 0.28; 0.47;.0178;.0479;.0115;.0107;.0089;.0039;.0029;.0308;.0114;.0077;.0023;.0014;.0028;.0029
NMA692;19.37; 4.52;0.640; 2.49;56.89;13.97; 1.49;0.0316; 0.25; 0.21;.0168;.0489;.0112;.0093;.0091;.0033;.0028;.0219;.0116;.0071;.0022;.0017;.0019;.0026
NMA693;13.95; 6.25;0.640; 2.29;57.08;15.19; 3.04;0.0803; 1.01; 0.30;.0164;.0334;.0148;.0092;.0116;.0066;.0040;.0345;.0117;.0083;.0028;.0000;.0199;.0028
NMA694;16.30; 5.61;0.585; 2.66;56.22;15.13; 2.41;0.0691; 0.61; 0.25;.0131;.0352;.0122;.0081;.0109;.0057;.0027;.0285;.0088;.0073;.0021;.0000;.0133;.0028
NMA695; 6.27; 4.64;0.768; 4.21;65.42;16.12; 1.90;0.0324; 0.29; 0.19;.0244;.0143;.0209;.0059;.0063;.0030;.0039;.0383;.0098;.0096;.0027;.0000;.0228;.0025
NMA696;12.77; 5.79;0.597; 2.33;60.27;15.29; 1.82;0.0691; 0.72; 0.19;.0161;.0274;.0112;.0078;.0092;.0054;.0031;.0295;.0115;.0081;.0025;.0000;.0197;.0031
NMA697;16.43; 5.19;0.607; 2.91;57.86;13.13; 2.75;0.0750; 0.63; 0.22;.0155;.0404;.0132;.0089;.0100;.0056;.0030;.0335;.0099;.0073;.0024;.0000;.0327;.0067
NMA698; 3.62; 5.74;0.571; 3.09;66.26;18.36; 1.03;0.0401; 0.91; 0.20;.0190;.0117;.0159;.0179;.0072;.0049;.0045;.0551;.0107;.0075;.0035;.0007;.0091;.0022
NMA699; 2.60; 7.95;1.067; 1.98;64.00;21.04; 0.72;0.0388; 0.23; 0.21;.0286;.0091;.0132;.0197;.0088;.0067;.0061;.0359;.0120;.0124;.0044;.0007;.0101;.0032
NMA784;19.48; 5.44;0.567; 2.71;54.04;13.88; 2.28;0.0947; 0.51; 0.60;.0115;.0430;.0109;.0094;.0102;.0056;.0030;.0404;.0104;.0079;.0012;.0000;.2385;.0135
NMA785;16.74; 5.26;0.625; 2.82;55.72;14.60; 2.56;0.0857; 0.49; 0.79;.0139;.0480;.0122;.0136;.0107;.0062;.0038;.0337;.0093;.0071;.0019;.0000;.1301;.0100
NMA786;14.71; 5.36;0.549; 3.11;57.67;14.02; 2.18;0.0679; 0.68; 1.17;.0132;.0334;.0124;.0153;.0107;.0049;.0034;.0414;.0118;.0075;.0007;.0000;.3264;.0066
NMA787;14.25; 6.35;0.588; 3.15;55.53;15.16; 2.81;0.1075; 0.51; 1.30;.0119;.0489;.0149;.0151;.0112;.0068;.0038;.0455;.0089;.0074;.0021;.0000;.0566;.0078
NMA788;18.59; 5.41;0.594; 2.69;54.50;13.87; 3.04;0.0965; 0.45; 0.44;.0136;.0394;.0104;.0129;.0108;.0062;.0038;.0280;.0118;.0072;.0016;.0000;.1543;.0157
NMA789;15.19; 5.79;0.608; 2.85;56.74;14.29; 2.76;0.1002; 0.58; 0.84;.0156;.0383;.0127;.0164;.0114;.0063;.0036;.0351;.0116;.0073;.0023;.0000;.0733;.0114
NMA790;18.85; 6.29;0.599; 1.87;52.11;13.45; 3.80;0.0906; 0.86; 1.27;.0148;.0452;.0117;.0126;.0123;.0057;.0029;.0372;.0119;.0066;.0000;.0000;.6425;.0104
NMA791;21.78; 5.53;0.610; 2.05;50.53;13.89; 2.86;0.0928; 0.52; 1.45;.0127;.0498;.0101;.0142;.0113;.0057;.0034;.0427;.0096;.0069;.0000;.0000;.5077;.0084
NMA792;21.15; 5.89;0.602; 1.90;50.20;14.18; 3.20;0.0984; 0.68; 1.22;.0121;.0469;.0088;.0119;.0117;.0055;.0034;.0328;.0102;.0069;.0000;.0000;.7077;.0145
NMA793;17.52; 5.67;0.616; 2.53;54.58;15.13; 2.39;0.0949; 0.45; 0.80;.0154;.0487;.0114;.0108;.0102;.0063;.0035;.0389;.0109;.0067;.0024;.0000;.0522;.0122
NMA794;15.83; 5.13;0.521; 2.55;58.94;13.59; 2.22;0.0731; 0.64; 0.26;.0127;.0341;.0113;.0089;.0092;.0052;.0040;.0343;.0091;.0068;.0018;.0000;.1066;.0060
NMA795;18.27; 6.47;0.597; 3.00;53.38;13.41; 2.91;0.0927; 0.51; 1.03;.0145;.0413;.0124;.0157;.0112;.0059;.0033;.0379;.0116;.0071;.0017;.0000;.1602;.0118
TWM  1;26.60; 4.21;0.680; 2.25;50.22;13.68; 1.67;0.0201; 0.28; 0.24;.0188;.0553;.0095;.0110;.0094;.0042;.0004;.0249;.0099;.0081;;;;
TWM  2;24.36; 4.23;0.717; 1.83;52.33;14.73; 1.20;0.0273; 0.20; 0.21;.0205;.0656;.0096;.0104;.0075;.0025;.0017;.0246;.0109;.0080;;;;
